frame,x,y,id
1791,1529.39,818.24,54
1791,1405.73,840.81,5
1791,1026.13,849.44,8
1791,319.6,893.3,31
1791,1250.76,899.21,42
1791,1000.32,960.7,12
1791,666.61,996.56,35
1791,1430.57,1017.38,48
1791,796.45,1015.74,10
1791,520.15,1105.87,19
1791,1392.91,1151.1,13
1791,1320.74,1190.73,15
1791,851.28,1194.27,38
1791,385.6,1299.63,45
1791,1290.88,1300.66,16
1791,811.64,1378.11,25
1791,647.19,1443.35,50
1791,923.68,1519.26,21
1791,817.04,1583.88,51
1791,1427.48,1585.86,27
1791,1723.0,1631.44,23
1791,756.02,1729.5,47
1791,996.34,1732.1,39
1791,1016.79,1751.7,29
1791,761.85,2008.33,46
1792,1205.13,396.95,2
1792,1308.73,409.47,34
1792,747.94,502.25,52
1792,767.6,519.38,53
1792,1087.13,623.46,33
1792,1448.73,712.71,41
1792,719.95,740.3,3
1792,1128.92,811.91,7
1792,1528.32,817.6,54
1792,1405.48,841.0,5
1792,1025.82,849.7,8
1792,318.58,893.23,31
1792,1251.7,898.76,42
1792,1000.16,961.0,12
1792,665.98,996.21,35
1792,1430.02,1017.89,48
1792,796.6,1015.42,10
1792,520.33,1105.78,19
1792,1392.16,1151.0,13
1792,1320.76,1190.62,15
1792,850.93,1194.46,38
1792,385.63,1298.98,45
1792,1289.89,1301.32,16
1792,811.39,1377.53,25
1792,646.81,1443.32,50
1792,922.74,1519.14,21
1792,1427.55,1585.4,27
1792,815.96,1583.55,51
1792,1722.94,1631.45,23
1792,755.0,1729.25,47
1792,996.43,1731.89,39
1792,1016.09,1751.68,29
1792,762.15,2008.06,46
1793,1204.94,396.75,2
1793,1308.58,409.06,34
1793,747.05,502.94,52
1793,767.15,519.82,53
1793,1087.19,623.42,33
1793,1448.94,712.63,41
1793,720.56,740.16,3
1793,1128.93,811.83,7
1793,1528.32,817.67,54
1793,1405.47,841.01,5
1793,1026.27,848.96,8
1793,318.68,893.07,31
1793,1252.1,898.83,42
1793,1000.21,961.0,12
1793,666.53,996.47,35
1793,1430.37,1017.78,48
1793,796.06,1015.42,10
1793,520.09,1106.07,19
1793,1392.27,1151.02,13
1793,1320.71,1190.71,15
1793,851.16,1194.1,38
1793,385.54,1298.83,45
1793,1289.87,1301.56,16
1793,811.56,1377.51,25
1793,647.18,1443.08,50
1793,921.59,1519.69,21
1793,814.1,1583.8,51
1793,1427.84,1585.43,27
1793,1722.88,1630.68,23
1793,754.68,1729.52,47
1793,995.57,1731.51,39
1793,1016.58,1751.52,29
1793,762.15,2007.94,46
1794,1205.51,397.79,2
1794,1309.14,409.61,34
1794,746.91,503.37,52
1794,766.56,520.33,53
1794,1087.52,623.67,33
1794,1449.05,712.56,41
1794,720.89,740.56,3
1794,1128.66,811.7,7
1794,1528.05,817.32,54
1794,1405.4,841.19,5
1794,1026.63,848.83,8
1794,318.03,892.6,31
1794,1252.09,898.93,42
1794,999.97,960.96,12
1794,666.07,996.04,35
1794,1429.81,1018.23,48
1794,796.75,1015.53,10
1794,520.29,1105.61,19
1794,1392.66,1150.8,13
1794,1320.53,1190.58,15
1794,851.25,1194.2,38
1794,385.57,1299.18,45
1794,1289.97,1301.56,16
1794,811.56,1377.48,25
1794,647.14,1443.28,50
1794,920.69,1520.39,21
1794,814.0,1583.56,51
1794,1428.02,1585.27,27
1794,1723.06,1631.23,23
1794,754.14,1729.61,47
1794,995.4,1731.48,39
1794,1016.46,1751.74,29
1794,762.56,2008.02,46
1795,1205.56,397.55,2
1795,1309.4,410.32,34
1795,746.63,503.25,52
1795,766.38,520.19,53
1795,1087.35,623.5,33
1795,1448.79,712.86,41
1795,720.69,740.3,3
1795,1128.64,811.89,7
1795,1527.68,817.09,54
1795,1405.48,841.12,5
1795,1026.48,848.67,8
1795,318.52,892.72,31
1795,1252.28,898.87,42
1795,999.98,960.91,12
1795,666.34,996.69,35
1795,1429.37,1018.75,48
1795,797.23,1015.51,10
1795,520.13,1105.61,19
1795,1392.61,1150.82,13
1795,1319.89,1190.24,15
1795,851.3,1194.04,38
1795,386.07,1298.5,45
1795,1289.32,1301.92,16
1795,811.38,1377.28,25
1795,647.14,1443.27,50
1795,919.49,1520.91,21
1795,813.27,1583.49,51
1795,1428.31,1584.82,27
1795,1722.89,1630.32,23
1795,995.06,1731.13,39
1795,754.23,1729.72,47
1795,1017.13,1751.84,29
1795,762.88,2008.42,46
1796,1205.5,397.47,2
1796,1309.25,409.96,34
1796,746.16,503.47,52
1796,766.57,520.08,53
1796,1087.54,623.26,33
1796,1449.15,712.95,41
1796,720.69,740.29,3
1796,1128.84,811.84,7
1796,1527.09,817.06,54
1796,1405.29,841.0,5
1796,1026.82,848.03,8
1796,318.81,893.06,31
1796,1252.78,898.83,42
1796,999.84,960.47,12
1796,666.17,996.44,35
1796,1429.45,1018.52,48
1796,797.14,1015.67,10
1796,520.2,1105.73,19
1796,1392.74,1150.93,13
1796,1320.52,1190.78,15
1796,851.33,1193.88,38
1796,386.08,1298.55,45
1796,1289.47,1301.79,16
1796,811.31,1377.51,25
1796,647.43,1443.41,50
1796,919.11,1521.12,21
1796,811.61,1583.4,51
